,0
2021-02-02,1.0
2021-02-03,1.01930167614178
2021-02-04,1.0254750396791572
2021-02-05,1.0307458243308896
2021-02-08,1.049964456971615
2021-02-09,1.0456839769158783
2021-02-10,1.0467495666167024
2021-02-18,1.0536673438246904
2021-02-19,1.0561129435849623
2021-02-22,1.0401967125804326
2021-02-24,1.070072671725973
2021-02-25,1.026816314813078
2021-02-26,1.022441708594088
2021-03-01,1.0505822831032068
2021-03-02,1.038074211794844
2021-03-03,1.02332084578025
2021-03-04,1.016664352746211
2021-03-05,1.0305453392416515
2021-03-08,1.0071422538190933
2021-03-09,1.04487624669025
2021-03-10,1.0528486493830038
2021-03-12,1.071339099959706
2021-03-15,1.0752077808588152
2021-03-16,1.0659084394312597
2021-03-17,1.0750299646132802
2021-03-18,1.0488822194863425
2021-03-19,1.0504076210095799
2021-03-22,1.0501870482344942
2021-03-23,1.0431961960957519
2021-03-24,1.036028701285391
2021-03-25,1.0417056982934205
2021-03-26,1.0488651046508246
2021-03-30,1.0504776549502164
2021-03-31,1.0590455395040832
2021-04-01,1.0739250355281125
2021-04-06,1.0862579905497758
2021-04-07,1.091022279194963
2021-04-08,1.0954168647696876
2021-04-09,1.1032357621533375
2021-04-12,1.1140953422393116
2021-04-13,1.129807230358219
2021-04-15,1.1409542077837969
2021-04-16,1.1399656622412675
2021-04-19,1.1285358094830475
2021-04-20,1.119791776706918
2021-04-22,1.1149703209340742
2021-04-23,1.134260563146007
2021-04-26,1.139421327011831
2021-04-27,1.1348155497218049
2021-04-28,1.144923192335406
2021-04-30,1.1492470052309542
2021-05-06,1.1581535044382136
2021-05-07,1.1707841191572148
2021-05-10,1.1490756700837346
2021-05-11,1.1313941461794796
2021-05-12,1.1057768380497446
2021-05-14,1.1343038783893085
2021-05-17,1.1355912786202267
2021-05-18,1.1244560052205925
2021-05-19,1.1162374964378279
2021-05-20,1.1333375999851039
2021-05-21,1.1388446573508475
2021-05-24,1.1620294961126962
2021-05-25,1.1572951454869331
2021-05-26,1.166318142394001
2021-05-27,1.1686011461376165
2021-05-28,1.1755724348701442
2021-06-01,1.1834647392488056
2021-06-02,1.1836336309300504
2021-06-03,1.1769734893198351
2021-06-04,1.195743647682698
2021-06-07,1.1953009355761846
2021-06-08,1.1986437688633769
2021-06-09,1.1954970721838705
2021-06-10,1.1991778783474396
2021-06-11,1.2002627494291356
2021-06-15,1.20052266731224
2021-06-16,1.1993657625632779
2021-06-17,1.199897454747981
2021-06-18,1.1871648522829241
2021-06-21,1.2017729702965323
2021-06-22,1.2101509867604574
2021-06-23,1.2190845124568817
2021-06-24,1.2317811892868178
2021-06-25,1.2317707462374714
2021-06-28,1.2363113250938054
2021-06-29,1.229414034711617
2021-06-30,1.232723283928538
2021-07-01,1.241631483105238
2021-07-02,1.2511247969330943
2021-07-06,1.2411270760546387
2021-07-07,1.2331785366102364
2021-07-08,1.2246057536747275
2021-07-09,1.2384084691966992
2021-07-12,1.2551523581407777
2021-07-13,1.2455019353950734
2021-07-14,1.2334964846542373
2021-07-15,1.2241295899698115
2021-07-16,1.2049919116253434
2021-07-19,1.18755570472906
2021-07-20,1.2029146183981798
2021-07-26,1.234177182375157
2021-07-27,1.2291846757763742
2021-07-28,1.2311424361022272
2021-07-29,1.2455980869651784
2021-07-30,1.2368596259794347
2021-08-02,1.2457481462673619
2021-08-03,1.2556558611493822
2021-08-04,1.2506245536603697
2021-08-05,1.2584012783391805
2021-08-06,1.2624177161399261
2021-08-10,1.2635164041271336
2021-08-11,1.2625905935180974
2021-08-12,1.2677140136492782
2021-08-13,1.2660364599200675
2021-08-16,1.2558279220737323
2021-08-17,1.2405676047810992
2021-08-18,1.230659648193305
2021-08-20,1.2483426403377733
2021-08-23,1.2809837215234015
2021-08-24,1.284454008761826
2021-08-25,1.293797809207927
2021-08-26,1.284354350080511
2021-08-27,1.3035069846657148
2021-08-31,1.2970447099428821
2021-09-01,1.2939520482377247
2021-09-02,1.3005083837179416
2021-09-03,1.3030497968584311
2021-09-07,1.3028701635433386
2021-09-08,1.2931783385433921
2021-09-09,1.2934037220735624
2021-09-13,1.2951406105128118
2021-09-14,1.288078953849231
2021-09-15,1.3077348491118983
2021-09-16,1.3018170336939843
2021-09-17,1.2922976994212207
2021-09-22,1.2872022070410065
2021-09-24,1.315202392389424
2021-09-27,1.3226028325952268
2021-09-28,1.298859735027163
2021-09-29,1.2960447182861032
2021-09-30,1.2839047525612641
2021-10-08,1.3310225430274798
2021-10-11,1.3205475484438973
2021-10-12,1.3170778008039874
2021-10-13,1.3179041141823042
2021-10-14,1.346626784743259
2021-10-18,1.375369975869694
2021-10-19,1.382332372276091
2021-10-20,1.3877058903155088
2021-10-21,1.3989095789595127
2021-10-22,1.4047631219230434
2021-10-25,1.4360404354209173
2021-10-26,1.4603336242420832
2021-10-27,1.4588015708256739
2021-10-28,1.476042549099171
