Price,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX
Date,,,,,,,,
2015-11-18,0.0,19.894893646240234,0.0,19.894893646240234,19.745071904667114,19.745071904667114,0.0,4700
2015-11-19,0.0,20.1866512298584,0.0,20.19690264856312,20.052599190871742,20.052599190871742,0.0,1000
2015-11-20,0.0,20.077835083007812,0.0,20.328591799451125,20.077835083007812,20.328591799451125,0.0,1200
2015-11-23,0.0,19.952457427978516,0.0,20.005290746790834,19.952457427978516,20.005290746790834,0.0,1100
2015-11-24,0.0,19.82392692565918,0.0,19.82392692565918,19.82392692565918,19.82392692565918,0.0,200
2015-11-25,0.0,20.155113220214844,0.0,20.155113220214844,20.123572353415828,20.123572353415828,0.0,1400
2015-11-27,0.0,20.368019104003906,0.0,20.423216747273955,20.29705027579299,20.423216747273955,0.0,4100
2015-11-30,0.0,20.431102752685547,0.0,20.431102752685547,20.431102752685547,20.431102752685547,0.0,200
2015-12-01,0.0,20.383790969848633,0.0,20.478415074608705,20.304936546533217,20.478415074608705,0.0,4700
2015-12-02,0.0,20.107799530029297,0.0,20.31282041160254,20.107799530029297,20.31282041160254,0.0,2800
2015-12-03,0.0,19.868085861206055,0.0,20.170886333136252,19.868085861206055,20.170886333136252,0.0,40000
2015-12-04,0.0,20.061277389526367,0.0,20.061277389526367,19.823926010406428,19.950092486690433,0.0,1400
2015-12-07,0.0,20.05260467529297,0.0,20.15511437830866,20.028947895817144,20.15511437830866,0.0,1700
2015-12-08,0.0,19.768726348876953,0.0,19.82392398861887,19.768726348876953,19.82392398861887,0.0,2100
2015-12-09,0.0,19.68987464904785,0.0,19.83969790902871,19.60707817801491,19.729302614318126,0.0,3900
2015-12-10,0.0,19.68987464904785,0.0,19.68987464904785,19.68987464904785,19.68987464904785,0.0,0
2015-12-11,0.0,19.319259643554688,0.0,19.43754052424124,19.319259643554688,19.43754052424124,0.0,1500
2015-12-14,0.0,19.098466873168945,0.0,19.248290118770072,19.098466873168945,19.24040452647286,0.0,12700
2015-12-15,0.0,19.439117431640625,0.0,19.439117431640625,19.439117431640625,19.439117431640625,0.0,200
2015-12-16,0.0,19.729299545288086,0.0,19.729299545288086,19.555819533131086,19.555819533131086,0.0,12100
2015-12-17,0.0,19.68987464904785,0.0,19.847583502082767,19.68987464904785,19.847583502082767,0.0,1200
2015-12-18,0.0,19.48484992980957,0.0,19.48484992980957,19.48484992980957,19.48484992980957,0.0,100
2015-12-21,0.0,19.47696876525879,0.0,19.851524642110558,19.47696876525879,19.524280817404367,0.0,2500
2015-12-22,0.0,19.587366104125977,0.0,19.599193742393997,19.56370932356676,19.599193742393997,0.0,1300
2015-12-23,0.0,19.934640884399414,0.079,19.934640884399414,19.82389185684021,19.895087121406206,0.0,3500
2015-12-24,0.0,19.910905838012695,0.0,19.926727340994123,19.871353589380696,19.87926283204984,0.0,1100
2015-12-28,0.0,19.926729202270508,0.0,19.926729202270508,19.79224943201029,19.79224943201029,0.0,11600
2015-12-29,0.0,20.20122528076172,0.0,20.20122528076172,20.092849639413867,20.092849639413867,0.0,2700
2015-12-30,0.0,19.831796646118164,0.0,20.11657761874995,19.831796646118164,20.11657761874995,0.0,800
2015-12-31,0.0,19.689409255981445,0.0,19.79224751619049,19.554929498738396,19.79224751619049,0.0,5600
2016-01-04,0.0,18.977460861206055,0.0,19.32552642992861,18.8145035830814,19.32552642992861,0.0,5600
2016-01-05,0.0,18.86670684814453,0.0,18.96163282859522,18.74013786832944,18.96163282859522,0.0,5100
2016-01-06,0.0,18.653125762939453,0.0,18.693470144505536,18.52655675168052,18.57401975369721,0.0,2400
2016-01-07,0.0,18.320877075195312,0.0,18.50677592334785,18.320877075195312,18.439535304492598,0.0,4200
2016-01-08,0.0,18.1468505859375,0.0,18.392077868379147,18.131029081567924,18.392077868379147,0.0,4600
2016-01-11,0.0,18.289236068725586,0.0,18.41422229763802,18.16741232922972,18.344609809941304,0.0,10100
2016-01-12,0.0,18.510732650756836,0.0,18.542375653542436,18.447448154007056,18.494911149364036,0.0,1800
2016-01-13,0.0,18.1254940032959,0.0,18.581933749577082,18.075657616154587,18.581933749577082,0.0,7900
2016-01-14,0.0,18.24968719482422,0.0,18.360434706846227,18.059833670434337,18.090684547523082,0.0,6400
2016-01-15,0.0,17.60892677307129,0.0,17.84149799653843,17.482357789791276,17.80669099804897,0.0,2600
2016-01-19,0.0,17.8620662689209,0.0,17.97281376156741,17.752109398701453,17.97281376156741,0.0,3200
2016-01-20,0.0,17.53773307800293,0.0,17.557509200480467,17.42698558507157,17.521911576492325,0.0,2800
2016-01-21,0.0,17.735496520996094,0.0,17.80669176576326,17.45862629232615,17.67221202662765,0.0,900
2016-01-22,0.0,18.050336837768555,0.0,18.050336837768555,18.03688871365105,18.03688871365105,0.0,600
2016-01-25,0.0,17.87788963317871,0.0,18.051921641016712,17.87788963317871,18.051921641016712,0.0,1000
2016-01-26,0.0,18.16187858581543,0.0,18.2259552210213,18.145266460129815,18.170579959914335,0.0,2400
