,0
2020-12-21,1.0
2020-12-23,1.0016184636092935
2020-12-24,1.0032362925445462
2020-12-29,1.0107514866074503
2020-12-30,1.0131899595734204
2021-01-04,1.01890695949212
2021-01-05,1.0252938402372815
2021-01-06,1.0296850386131122
2021-01-07,1.0353683808848446
2021-01-08,1.0297136289006743
2021-01-12,1.0290084130413728
2021-01-13,1.0320678107557282
2021-01-14,1.0343944453235239
2021-01-15,1.0243720832968608
2021-01-19,1.0272071346477185
2021-01-20,1.0329787771220225
2021-01-21,1.0342505714539711
2021-01-22,1.0302409083602273
2021-01-25,1.0280953137292312
2021-01-27,1.0206966286226344
2021-01-28,1.0179768649020913
2021-01-29,1.0132730234738285
2021-02-01,1.0279624669400707
2021-02-02,1.026947813996029
2021-02-03,1.0308043431861003
2021-02-04,1.028972072733893
2021-02-05,1.0349727598320178
2021-02-08,1.0448471892310889
2021-02-09,1.0480589063861272
2021-02-10,1.0510521027873647
2021-02-18,1.055176017131777
2021-02-19,1.0585070652857622
2021-02-22,1.0639631431037873
2021-02-24,1.0687432753270931
2021-02-25,1.0667085746485403
2021-02-26,1.045209502490118
2021-03-01,1.051648777555142
2021-03-02,1.0516664528280164
2021-03-03,1.0541798386995793
2021-03-04,1.044764217284726
2021-03-05,1.0453759162495713
2021-03-08,1.0446876294574263
2021-03-09,1.04653695088029
2021-03-10,1.0511388555048016
2021-03-12,1.0603016218234742
2021-03-15,1.0584563982170856
2021-03-16,1.057719407033481
2021-03-17,1.0581570315529774
2021-03-18,1.0552108455254658
2021-03-19,1.0525986276146946
2021-03-22,1.050475011530964
2021-03-23,1.042152303813105
2021-03-24,1.0394765563667694
2021-03-25,1.0335029127000406
2021-03-26,1.0435752457685492
2021-03-30,1.0420687346000632
2021-03-31,1.0399768507210898
2021-04-01,1.047743949158697
2021-04-06,1.0544101681390192
2021-04-07,1.0556418184644818
2021-04-08,1.0584202018774767
2021-04-09,1.057300845857399
2021-04-12,1.0510802832213817
2021-04-13,1.056413247411533
2021-04-15,1.0691137149797225
2021-04-16,1.0722565265193476
2021-04-19,1.0718001113229183
2021-04-20,1.0669969653640132
2021-04-22,1.070003872468796
2021-04-23,1.0712095757542628
2021-04-26,1.0748248035238175
2021-04-27,1.0813814649082003
2021-04-28,1.080195685179716
2021-04-30,1.0754091902924272
2021-05-06,1.087701648581699
2021-05-07,1.094469033991242
2021-05-10,1.096732828618283
2021-05-11,1.0914154802320792
